airBAND#,TAG #,st,E,A,AD,Sex,Mo,Dy,Yr,PT,TR,F,rg,Location,BANDITLOC,lat,LAT_DEC,long,LONG_DEC,Type
73802375,H11,,,,,0,8,5,2003,PT,,,,Belbutte,,532,53.41667,1074,-107.75,band
73802376,H12,3,39,4,,0,8,5,2003,PT,,6,79,BELBUTTE,,532,53.41667,1074,-107.75,band
73802377,H13,3,39,4,,0,8,5,2003,PT,,6,79,7  W OF LEOVILLE,,533,53.58333,1074,-107.75,band
73802378,H14,3,39,4,,0,8,5,2003,PT,,6,79,7  W OF LEOVILLE,,533,53.58333,1074,-107.75,band
73802379,H15,3,39,4,,0,8,5,2003,PT,,6,79,7  E OF MONT NEBO,,531,53.25,1064,-106.75,band
73802380,H16,3,39,4,,0,8,5,2003,PT,,6,79,7  E OF MONT NEBO,,531,53.25,1064,-106.75,band
73802381,H17,3,39,4,,0,8,6,2003,PT,,6,79,SMUTS,,522,52.41667,1060,-106.08333,band
73802382,H18,3,39,4,,0,8,6,2003,PT,,6,79,HAGEN,,525,52.91667,1053,-105.58333,band
73802383,H19,3,39,4,F,0,8,8,2003,PT,,6,79,ARCHERWILL,,522,52.41667,1035,-103.91667,band
73802384,H20,3,39,4,,0,8,8,2003,PT,,6,79,STURGIS,,515,51.91667,1023,-102.58333,band
73802385,H21,3,39,4,,0,8,8,2003,PT,,6,79,STURGIS,,515,51.91667,1023,-102.58333,band
73802386,H22,3,39,4,,0,8,16,2003,PT,,6,79,7  E OF PUNNICHY,,512,51.41667,1040,-104.08333,band
73802387,H23,3,39,4,,0,8,16,2003,PT,,6,79,7  E OF PUNNICHY,,512,51.41667,1040,-104.08333,band
73802388,H24,3,39,4,,0,8,17,2003,PT,,6,79,12 E PRINCE,,525,52.91667,1080,-108.08333,band
73802389,H25,3,39,4,,0,8,5,2004,PT,TR,6,79,7  W OF LEOVILLE,,533,53.58333,1074,-107.75,band
73802390,H26,3,39,4,,0,8,5,2004,PT,,6,79,7  W OF LEOVILLE,,533,53.58333,1074,-107.75,band
73802391,H27,3,39,4,,0,8,5,2004,PT,,6,79,BELBUTTE,,532,53.41667,1074,-107.75,band
73802392,H28,3,39,4,,0,8,5,2004,PT,,6,79,BELBUTTE,,532,53.41667,1074,-107.75,band
73802393,H29,3,39,4,,0,8,5,2004,PT,,6,79,7  E OF MONT NEBO,,531,53.25,1064,-106.75,band
73802394,H30,3,39,4,,0,8,5,2004,PT,,6,79,7  E OF MONT NEBO,,531,53.25,1064,-106.75,band
73802395,H31,3,39,4,,0,8,5,2004,PT,,6,79,17 NE CANWOOD,,533,53.58333,1062,-106.41667,band
73802396,H32,3,39,4,,0,8,5,2004,PT,,6,79,HAGEN,,525,52.91667,1053,-105.58333,band
73802397,H33,3,39,4,,0,8,6,2004,PT,,6,79,11 S OF CHELAN,,522,52.41667,1032,-103.41667,band
73802398,H34,3,39,4,,0,8,6,2004,PT,,6,79,11 S OF CHELAN,,522,52.41667,1032,-103.41667,band
