iteration,chain,acceptance_rate,alpha[1],alpha[2],alpha[3],alpha[4],alpha[5],alpha[6],alpha[7],alpha[8],alpha[9],alpha[10],alpha[11],alpha[12],alpha[13],alpha[14],alpha[15],alpha[16],beta[1],beta[2],beta[3],beta[4],beta[5],beta[6],beta[7],beta[8],beta[9],beta[10],beta[11],beta[12],beta[13],beta[14],beta[15],beta[16],hamiltonian_energy,hamiltonian_energy_error,is_accept,log_density,lp,max_hamiltonian_energy_error,n_steps,nom_step_size,numerical_error,step_size,tree_depth
1,1,0.7782328267160319,0.8391528003965116,0.8901602528830643,0.986128416518523,0.8571711825510928,0.9247669081731799,0.9396971592861776,0.8597910807520034,0.9845735577656031,0.9750902763163157,0.9456757487045689,0.882110842824548,0.8456195148103018,0.9746770568143278,0.9657128505417244,0.7298248331644706,0.2210990599390183,0.35393662751791943,0.23102277771833446,0.26889296315222216,0.15410545098563763,0.2191696675510062,0.22892730278131537,0.1664094114881967,0.2041906291676988,0.2729689004248322,0.2252599112045072,0.23192278083570278,0.29171727081852383,0.21179368691536865,0.18705254138170732,0.2301401037474603,0.5181376017211659,1441.6697463286998,0.023183806921451833,1.0,-1428.49554620789,-1428.49554620789,0.6027960058229382,31.0,0.15520361583424452,0.0,0.15520361583424452,5.0
2,1,0.9589545704586764,0.7156994564916379,0.9790471537170727,0.9875598007622869,0.9754382631488179,0.8171073489468692,0.955948997331502,0.9757051118250915,0.9964347583470331,0.983921493817016,0.9758649568706617,0.9011550789590724,0.7568037240423832,0.9074713800504272,0.9849883265291595,0.6687560116210917,0.3899395304481816,0.5749297701166495,0.5497502193643247,0.2689327353818278,0.19165890513746422,0.3379591059874101,0.15327871599559997,0.11966286943601934,0.27781010252474087,0.1948822727684277,0.22543288029538638,0.2688978872955275,0.2859356808242922,0.19883920127061216,0.23137478136269846,0.28530703123106366,0.2302382625462298,1448.3638077160228,0.11743963964408977,1.0,-1436.3461578147865,-1436.3461578147865,0.11743963964408977,15.0,0.17893333929259492,0.0,0.17893333929259492,4.0
3,1,0.9942487161215944,0.7986952897084303,0.7718255166222397,0.884767898068167,0.9818177335186303,0.9258886391799128,0.9811839604919539,0.8849754826624433,0.9766098288989125,0.8915785254932201,0.9682930896487402,0.9425181480456686,0.8258217810125494,0.9625910877873168,0.9660293000882941,0.8164922053472542,0.4319358808435618,0.24829784124197646,0.48600399812874384,0.2827462914231471,0.12919414384559794,0.1750565085606018,0.20884566983502814,0.1713041723237118,0.2535119811885903,0.2167399981081373,0.2607923858550755,0.24074551619435205,0.2575062893608106,0.2726074076049161,0.23701847648724203,0.20922963234834532,0.15364555060101004,1450.2017342341,-0.063426676801555,1.0,-1425.3637214549958,-1425.3637214549958,-0.2280596164691815,15.0,0.17893333929259492,0.0,0.17893333929259492,4.0
4,1,0.9774623876391642,0.5390927948958183,0.9452754777341251,0.9382735050183924,0.8516543056118856,0.8637436958658625,0.9310822419023338,0.9416550431099404,0.9931416228177878,0.9186928916895131,0.976570263505536,0.9405774742449582,0.7476124187567251,0.8359300498860799,0.9799970758133117,0.9305629799782114,0.6841029751108294,0.2368488976655065,0.1365142031749463,0.2182589008205429,0.13239808105195972,0.18740602999369632,0.21838894111327875,0.20282789369158635,0.21349377841940193,0.22429448471500166,0.29187382895985425,0.28613897223539886,0.2850960795403629,0.27956986995990546,0.25846141437962267,0.22071186973114695,0.11249636729377589,1443.8436269129586,-0.17283601402436943,1.0,-1430.0930447389303,-1430.0930447389303,-0.28375293583371786,15.0,0.17893333929259492,0.0,0.17893333929259492,4.0
5,1,0.9951355510150947,0.9326395194991935,0.9467622105486185,0.9954432275863215,0.9930996066437578,0.8970571423635165,0.9480938358594645,0.9826149941436763,0.9465347624588669,0.9178963176732414,0.9676594047886609,0.8861945786683779,0.9176746282972599,0.8483664598177466,0.9449393848799953,0.8367184730333728,0.11317213934170366,0.08069778842375945,0.5003930261600756,0.19347332889407226,0.320347264438537,0.2072576877406429,0.2509091555823092,0.19448417331640433,0.15065516672529347,0.26533964759543655,0.24645080532643635,0.28267062370979457,0.2502891634835647,0.2543840891469071,0.25804485486320156,0.14412914685713832,0.8470632464949566,1449.5276791175395,-0.05069998587259761,1.0,-1436.1243131123256,-1436.1243131123256,-0.16878060606086365,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
6,1,0.9991679785468526,0.6776227081476018,0.9722446637853883,0.9848034993988394,0.9822370193303351,0.9501124513638233,0.9507461204221496,0.8665408862724957,0.9896167190438835,0.9512714628505896,0.9784925932657842,0.899744421061467,0.8912061440410355,0.9312544659622937,0.7852001784297026,0.5931945786375423,0.9031421193948783,0.014008693570265563,0.2215474164127983,0.2896059069042023,0.10231355566674358,0.1856528781963632,0.2173173458892326,0.14778296285136552,0.35067747555922874,0.19340857225518007,0.23409772222078729,0.29118808553484693,0.24989321142812299,0.26692712556030684,0.2652757261168815,0.2781883125725201,0.17997334601152026,1449.2618517259634,0.010605110551523467,1.0,-1436.069923300151,-1436.069923300151,-0.17749031986795671,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
7,1,0.6683102462584317,0.9012843035180463,0.8880520855574118,0.9924104266559362,0.9703877283067146,0.8489938978417864,0.9730136108435498,0.9879438255927422,0.9975307980204432,0.8559238999508993,0.9536300325442999,0.8771265478356284,0.8119607272090034,0.9944777064539486,0.9789142098370874,0.9314538908764716,0.10020107381898555,0.7596997280622926,0.49017552885850485,0.2060605588039213,0.32516005349480376,0.22163942743919413,0.2331844849055469,0.2053418418922879,0.18232903552586002,0.28105392197014406,0.24657727710684257,0.23908957596809222,0.33350092837289214,0.2383638152098777,0.2068241531878767,0.16809141989337037,0.8697537553805054,1459.7969814205144,0.07826433527793597,1.0,-1438.796626537104,-1438.796626537104,0.8783252848438678,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
8,1,0.888525912341428,0.7888318611128536,0.7939769462940152,0.9981089535270654,0.9715854629451388,0.940652437275904,0.9796716231647052,0.9720334941234448,0.9988956761111026,0.8911808463604628,0.9663050964503902,0.8797346049522464,0.769446134266568,0.9836738568413435,0.9286226601039667,0.7061225244858299,0.20829850225129018,0.33360987747487364,0.3215477316030086,0.14775700261598304,0.29076094437597444,0.1958037971931085,0.20428374254396378,0.21576887411602438,0.2265264672674539,0.2620522660763304,0.2458795134519589,0.28934210971326146,0.3151376849900042,0.2578437567542946,0.22445731245969416,0.21119084623121587,0.46957856138951687,1449.6075785228093,-0.011510819620070833,1.0,-1429.6839575211961,-1429.6839575211961,0.2915188821305037,15.0,0.17893333929259492,0.0,0.17893333929259492,4.0
9,1,0.8159147843573058,0.9241283104510486,0.9594194325114078,0.8867247662112094,0.9374663471848952,0.9807834255800028,0.9555133644117226,0.884283600430301,0.9786049880140423,0.9505062480433689,0.979874537921366,0.9595867011135999,0.7009637890599156,0.90094136767086,0.8990348364416538,0.36399070427682717,0.30280987711250285,0.10898554799995785,0.36557844930807687,0.2867660249183248,0.09720358870063688,0.22408712337261885,0.26547842880717976,0.16373362663345362,0.18115429980082612,0.2218348911768635,0.2602836667186987,0.23435592720712334,0.27661419397016995,0.2645559277096926,0.2921600876163433,0.5429823359201608,0.8251842884358858,1451.6826735280617,-0.056638168365907404,1.0,-1434.093476053144,-1434.093476053144,0.5968387511763922,31.0,0.17893333929259492,0.0,0.17893333929259492,4.0
10,1,0.8868749792907797,0.7557471451148065,0.7456700985423264,0.9686054979855337,0.9545785377263949,0.9535506453795687,0.9888073241259483,0.9755936310595327,0.9746101965258449,0.8163127628000981,0.9259783269151876,0.9610236561478148,0.880362460039472,0.9459219864140175,0.9414762727705571,0.4572585646169237,0.2827870133728695,0.05419244695898528,0.25227690607990483,0.14007632043725682,0.10250294262200058,0.20166347156343176,0.22386097630721233,0.16158905615550767,0.17616687039924064,0.2223830500340265,0.23850082061294578,0.3025633436430067,0.2664245801358584,0.2547880730636411,0.17018222610048755,0.4092313149748489,0.6139573296743037,1452.23162433453,0.07554665408997607,1.0,-1437.5343835620235,-1437.5343835620235,0.3753022834373496,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
