tag,airnumber,age,sex,Bmdlocaclity,ST,year,month,day,wing,weight,lat,long,origin,dead
H11,0738-02375,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H12,0738-02376,0,0,Belbutte,SK,2003,8,5,,,53.4167,-105.7500,y,alive
H13,0738-02377,0,0,Leoville,SK,2003,8,5,,,53.4167,-107.7500,y,alive
H13,0738-02377,0,0,Leoville,SK,2003,8,5,,,53.4167,-107.7500,y,alive
H13,0738-02377,0,0,Leoville,SK,2003,8,5,,,53.4167,-107.7500,y,alive
H15,0738-02379,0,0,E of Mont Nebo,SK,2003,8,5,,,53.2500,-106.7500,y,alive
H15,0738-02379,0,0,E of Mont Nebo,SK,2003,8,5,,,53.2500,-106.7500,y,alive
H15,0738-02379,0,0,E of Mont Nebo,SK,2003,8,5,,,53.2500,-106.7500,y,alive
H17,0738-02381,0,0,Smuts,SK,2003,8,6,,,52.4167,-106.0833,y,alive
H17,0738-02381,0,0,Smuts,SK,2003,8,6,,,52.4167,-106.0833,y,alive
H17,0738-02381,0,0,Smuts,SK,2003,8,6,,,52.4167,-106.0833,y,alive
H17,0738-02381,0,0,Smuts,SK,2003,8,6,,,52.4167,-106.0833,y,alive
H17,0738-02381,0,0,Smuts,SK,2003,8,6,,,52.4167,-106.0833,y,alive
H17,0738-02381,0,0,Smuts,SK,2003,8,6,,,52.4167,-106.0833,y,alive
H17,0738-02381,0,0,Smuts,SK,2003,8,6,,,52.4167,-106.0833,y,alive
H17,0738-02381,0,0,Smuts,SK,2003,8,6,,,52.4167,-106.0833,y,alive
H19,0738-02383,0,0,Archerwill,SK,2003,8,6,,,52.4167,-103.9167,y,alive
H26,0738-02390,0,0,W of Leoville,SK,2004,8,5,,,52.5833,-107.7500,y,alive
H29,0738-02393,0,0,E of Mont Nebo,SK,2004,8,5,,,53.5833,-106.4167,y,alive
H31,0738-02395,0,0,NE Canwood,SK,2004,8,5,,,53.5833,-106.0833,y,alive
H36,0738-02400,0,0,Archerwill,SK,2004,8,6,,,52.4167,-103.9167,y,alive
H36,0738-02400,0,0,Archerwill,SK,2004,8,6,,,52.4167,-103.9167,y,alive
H36,0738-02400,0,0,Archerwill,SK,2004,8,6,,,52.4167,-103.9167,y,alive
H36,0738-02400,0,0,Archerwill,SK,2004,8,6,,,52.4167,-103.9167,y,alive
H36,0738-02400,0,0,Archerwill,SK,2004,8,6,,,52.4167,-103.9167,y,alive
C9,0738-02483,0,0,S of Neudorf,SK,2010,8,8,416,,50.6586,-103.1397,y,alive
E2,0738-02495,0,0,N of Garrick,SK,2010,8,7,265,,53.6781,-104.2175,y,alive
E5,0738-02498,0,0,NNE White Fox,SK,2010,8,7,372,,53.5544,-104.0239,y,alive
H45,0738-02505,0,0,N of Kendal,SK,2004,8,8,,,50.4167,-103.5831,y,alive
H50,0738-02509,0,0,Hanley,SK,2004,8,9,,,51.5833,-106.4167,y,alive
H50,0738-02509,0,0,Hanley,SK,2004,8,9,,,51.5833,-106.4167,y,alive
H50,0738-02509,0,0,Hanley,SK,2004,8,9,,,51.5833,-106.4167,y,alive
H53,0738-02512,0,0,Shell Lake,SK,2004,8,12,,,53.2500,-107.0833,y,alive
H56,0738-02518,0,0,Yellow Creek,SK,2005,8,5,,,52.7500,-105.2500,y,alive
H58,0738-02520,0,0,Hanley,SK,2005,8,6,,,51.5833,-106.4167,y,alive
H59,0738-02521,0,0,Hanley,SK,2005,8,6,,,51.5833,-106.4167,y,alive
H60,0738-02522,0,0,Shell Lake,SK,2005,8,6,,,53.2500,-107.0833,y,alive
H60,0738-02522,0,0,Shell Lake,SK,2005,8,6,,,53.2500,-107.0833,y,alive
H62,0738-02524,0,0,Belbutte,SK,2005,8,6,,,53.4167,-107.7500,y,alive
H64,0738-02526,0,0,W of Leoville,SK,2005,8,6,,,53.5833,-107.6667,y,alive
H66,0738-02528,0,0,E of Carrot River,SK,2005,8,7,,,53.2500,-103.2500,y,alive
H69,0738-02531,0,0,E of Arborfield,SK,2005,8,7,,,53.0353,-103.4667,y,alive
H69,0738-02531,0,0,E of Arborfield,SK,2005,8,7,,,53.0353,-103.4667,y,alive
H69,0738-02531,0,0,E of Arborfield,SK,2005,8,7,,,53.0353,-103.4667,y,alive
H74,0738-02536,0,0,Nut Mountain,SK,2005,8,7,,,52.0833,-103.4167,y,alive
H75,0738-02537,0,0,Sturgis,SK,2005,8,7,,,51.9167,-102.5833,y,alive
H76,0738-02538,0,0,Sturgis,SK,2005,8,7,,,51.9167,-102.5833,y,alive
H82,0738-02544,0,0,MacNutt,SK,2005,8,8,,,51.0833,-101.5833,y,alive
H84,0738-02546,0,0,MacNutt,SK,2005,8,8,,,51.0833,-101.5833,y,alive
H93,0738-02555,0,0,Henribourg,SK,2005,8,11,,,53.4167,-105.5833,y,alive
H97,0738-02559,0,0,Porcupine Plain,SK,2005,8,20,,,52.5833,-103.2500,y,alive
T10,0738-02567,0,0,Smuts,SK,2006,8,1,,,52.4167,-106.0833,y,alive
T11,0738-02512,6,0,Smuts,SK,2006,8,1,,,,,y,alive
T13,0738-02570,6,0,Shell Lake,SK,2006,8,1,,,53.2500,-107.0833,y,alive
T14,0738-02571,3,0,E of Bethune,SK,2006,8,3,422,,50.7500,-105.0833,y,alive
T23,0738-02580,8,0,N of Kendal,SK ,2006,8,3,430,,50.4167,-103.5833,y,alive
T23,0738-02580,9,0,N of Kendal,SK ,2006,8,3,430,,50.4167,-103.5833,y,alive
T23,0738-02580,1,0,N of Kendal,SK ,2006,8,3,430,,50.4167,-103.5833,y,alive
T28,0738-02585,6,0,Earl Grey,SK,2006,8,4,371,,50.9167,-104.7500,y,alive
T28,0738-02585,6,0,Earl Grey,SK,2006,8,4,371,,50.9167,-104.7500,y,alive
T29,0738-02586,6,0,Gibbs/ Bullyea,SK,2006,8,4,406,,50.9167,-104.9167,y,alive
 T29,0738-02586,6,0,Gibbs,SK,2006,8,4,406,,50.9167,-104.9167,y,alive
T34,0738-02591,7,0,E of Kelvington,SK,2006,8,4,420,,52.2500,-103.4167,y,alive
T34,0738-02591,7,0,E of Kelvington,SK,2006,8,4,420,,52.2500,-103.4167,y,alive
T35,0738-02592,8,0,E of Kelvington,SK,2006,8,4,425,,52.2500,-103.4167,y,alive
T35,0738-02592,10,0,E of Kelvington,SK,2006,8,4,425,,52.2500,-103.4167,y,alive
T35,0738-02592,8,0,E of Kelvington,SK,2006,8,4,425,,52.2500,-103.4167,y,alive
T37,0738-02594,3,0,S of Chelan,SK,2006,8,4,360,,52.4167,-103.4167,y,alive
