"","tag","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","H11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","H12",1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
"3","H13",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"4","H15",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","H17",1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
"6","H19",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","H26",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8","H29",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9","H31",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"10","H36",0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0
"11","C9",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"12","E2",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"13","E5",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"14","H45",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","H50",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"16","H53",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","H56",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18","H58",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"19","H59",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"20","H60",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"21","H62",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"22","H64",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","H66",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"24","H69",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"25","H74",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26","H75",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","H76",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","H82",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"29","H84",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"30","H93",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"31","H97",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"32","T10",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"33","T54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","T58",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
